time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-08T22:23:22.853Z,-4.5922,143.1486,97.047,4.8,mb,50,80,6.221,0.8,us,us6000k2x6,2023-04-10T01:45:32.813Z,"55 km SE of Ambunti, Papua New Guinea",earthquake,7.02,7.223,0.077,52,reviewed,us,us
2023-04-08T20:25:11.888Z,53.9099,-165.4573,66.396,5.1,mwr,157,64,0.295,0.8,us,us6000k2wm,2023-04-10T20:35:18.523Z,"32 km SE of Akutan, Alaska",earthquake,4.93,3.832,0.075,17,reviewed,us,us
2023-04-08T16:27:33.707Z,-16.5627,175.021,24.835,5.3,mww,26,105,3.128,0.56,us,us6000k2vx,2023-04-08T16:48:03.040Z,"283 km WNW of Lautoka, Fiji",earthquake,6.07,6.367,0.098,10,reviewed,us,us
2023-04-08T14:11:54.636Z,-2.9561,141.9484,28.863,5.2,mww,36,96,8.238,1,us,us6000k2vd,2023-04-08T14:27:27.040Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,9.89,6.602,0.093,11,reviewed,us,us
2023-04-08T11:06:12.086Z,9.0749,93.9965,11.077,4.6,mb,70,60,2.845,0.98,us,us6000k2uv,2023-04-08T11:35:05.040Z,"Nicobar Islands, India region",earthquake,6.97,4.058,0.086,50,reviewed,us,us
2023-04-08T08:07:23.269Z,-41.16,-86.2256,10,4.7,mb,28,163,9.531,0.97,us,us6000k2ue,2023-04-09T05:46:36.040Z,"West Chile Rise",earthquake,5.2,1.961,0.165,11,reviewed,us,us
2023-04-08T07:17:43.182Z,51.7641,-175.5013,57.113,4.8,mb,89,139,0.344,1.09,us,us6000k2u4,2023-04-08T15:27:48.412Z,"79 km E of Adak, Alaska",earthquake,7.27,5.663,0.029,367,reviewed,us,us
2023-04-08T06:58:16.224Z,1.9044,127.0946,104.83,4.8,mb,61,100,1.157,0.72,us,us6000k2tv,2023-04-08T07:13:56.040Z,"Halmahera, Indonesia",earthquake,6.67,6.393,0.063,77,reviewed,us,us
2023-04-07T20:09:15.589Z,-24.1123,-179.8573,508.53,4.5,mb,62,71,5.201,1.21,us,us6000k2qp,2023-04-07T20:26:46.040Z,"south of the Fiji Islands",earthquake,10.46,7.97,0.065,73,reviewed,us,us
2023-04-07T15:49:03.551Z,25.4655,126.1365,56.197,4.6,mb,32,116,2.355,0.88,us,us6000k2pd,2023-04-07T16:44:03.040Z,"111 km NE of Hirara, Japan",earthquake,9.36,6.236,0.064,73,reviewed,us,us
2023-04-07T14:41:50.362Z,49.9421,155.1602,120.832,4.6,mb,51,125,3.545,0.38,us,us6000k2nt,2023-04-08T05:48:47.040Z,"Kuril Islands",earthquake,9.24,5.673,0.039,192,reviewed,us,us
2023-04-07T12:17:05.322Z,41.9022,82.0174,10,5,mb,74,57,2.35,0.64,us,us6000k2n0,2023-04-07T12:34:49.040Z,"78 km WNW of Kuqa, China",earthquake,6.54,1.724,0.048,140,reviewed,us,us
2023-04-07T10:36:30.211Z,23.1941,121.4223,16.057,4.7,mb,55,89,0.229,0.51,us,us6000k2mr,2023-04-07T13:36:58.859Z,"88 km SSW of Hualien City, Taiwan",earthquake,4.5,4.394,0.093,35,reviewed,us,us
2023-04-07T08:29:37.654Z,39.1205,40.4259,1.779,4.5,mb,44,62,0.898,0.78,us,us6000k2m4,2023-04-10T00:04:03.290Z,"26 km NNW of Bingöl, Turkey",earthquake,3.48,5.22,0.115,22,reviewed,us,us
2023-04-07T07:59:18.146Z,-6.1815,103.8903,34.065,4.5,mb,36,149,2.034,0.41,us,us6000k2m1,2023-04-07T12:20:43.040Z,"173 km WSW of Bandar Lampung, Indonesia",earthquake,10.96,6.423,0.11,24,reviewed,us,us
2023-04-07T07:12:02.852Z,18.714,145.7677,156.959,4.9,mb,79,97,3.454,0.82,us,us6000k2lv,2023-04-07T07:27:58.040Z,"Pagan region, Northern Mariana Islands",earthquake,10.66,7.746,0.051,120,reviewed,us,us
2023-04-07T04:10:47.139Z,8.9543,-76.3284,10,4.6,mb,37,111,1.47,1.27,us,us6000k2l9,2023-04-07T20:24:57.407Z,"7 km NNE of Los Córdobas, Colombia",earthquake,4.45,1.899,0.049,123,reviewed,us,us
2023-04-07T02:22:41.020Z,49.8608,155.2628,86.442,5.8,mww,122,47,3.591,0.9,us,us6000k2kk,2023-04-08T02:26:21.924Z,"109 km SW of Severo-Kuril’sk, Russia",earthquake,8.24,5.343,0.098,10,reviewed,us,us
2023-04-06T22:09:20.199Z,27.4211,141.3831,86.344,4.7,mb,153,207,5.835,0.72,us,us6000k2ju,2023-04-11T02:23:16.040Z,"Bonin Islands, Japan region",earthquake,12.2,5.054,0.046,146,reviewed,us,us
2023-04-06T21:38:18.313Z,15.2446,-93.2717,69.79,4.9,mb,87,131,5.58,0.64,us,us6000k2j4,2023-04-11T02:01:42.948Z,"25 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,9.29,7.747,0.032,312,reviewed,us,us
2023-04-06T18:43:47.890Z,-36.9565,177.507,136.014,4.5,mb,27,150,0.879,0.88,us,us6000k2hy,2023-04-06T19:23:37.040Z,"118 km N of Opotiki, New Zealand",earthquake,7.64,6.522,0.108,25,reviewed,us,us
2023-04-06T18:02:15.305Z,34.547,82.0439,10,4.6,mb,94,71,7.274,0.9,us,us6000k2hq,2023-04-06T19:16:30.040Z,"western Xizang",earthquake,7.04,1.836,0.065,71,reviewed,us,us
2023-04-06T15:08:55.434Z,-5.3925,150.1883,159.893,4.5,mb,123,54,2.302,0.6,us,us6000k2ff,2023-04-06T15:48:50.040Z,"18 km NNE of Kimbe, Papua New Guinea",earthquake,8.25,6.817,0.051,125,reviewed,us,us
2023-04-06T13:28:34.798Z,-5.7362,104.0722,84.646,4.6,mb,31,183,1.762,0.83,us,us6000k2dt,2023-04-06T20:38:01.715Z,"134 km SW of Kotabumi, Indonesia",earthquake,11.52,9.618,0.105,27,reviewed,us,us
